id,model_variant,evaluation_mode,expected_outcome,planner_outcome,planning_success,reachability_success,execution_success,task_success,execution_status,timed_out,failure_stage,error,planning_latency_s,execution_latency_s,total_latency_s,clarification_asked,clarification_target_match_raw,clarification_target_match,clarification_adjudicated
001,base,end_to_end,plan,plan,TRUE,TRUE,TRUE,FALSE,goal_mismatch,FALSE,goal_verification,not satisfied: navigation: arrived at Sink,63.14138074799848,2.119599716999801,74.45389691500168,,,,
002,base,end_to_end,plan,plan,TRUE,TRUE,TRUE,TRUE,ok,FALSE,,,24.252802433009492,1.8157028569985416,30.449062147992663,,,,
003,base,end_to_end,plan,plan,TRUE,TRUE,TRUE,TRUE,ok,FALSE,,,30.939277194003807,4.0402244279976,39.29527820200019,,,,
004,base,end_to_end,plan,error,FALSE,,,,not_attempted,FALSE,planning,planner validation failed: PickUpAction requires 'location' to be null,52.46193724499608,0,56.625557563005714,,,,
005,base,end_to_end,plan,error,FALSE,,,,not_attempted,FALSE,planning,planner validation failed: Fridge occurs once and takes no qualifier; drop {'contains': None},28.148311647004448,0,32.14202312400448,,,,
006,base,end_to_end,plan,error,FALSE,,,,not_attempted,FALSE,planning,planner validation failed: PickUpAction requires 'location' to be null,41.78781791300571,0,46.033340117006446,,,,
007,base,end_to_end,plan,plan,TRUE,TRUE,TRUE,TRUE,ok,FALSE,,,41.80909674400755,7.2633155479998095,53.22322817699751,,,,
008,base,end_to_end,plan,error,FALSE,,,,not_attempted,FALSE,planning,planner validation failed: PickUpAction requires 'location' to be null,50.7544045530085,0,54.88016755400167,,,,
009,base,end_to_end,plan,error,FALSE,,,,not_attempted,FALSE,planning,planner validation failed: Output must be exactly one JSON object.,46.27088681700115,0,50.177529921988025,,,,
010,base,end_to_end,plan,error,FALSE,,,,not_attempted,FALSE,planning,"planner validation failed: object has unknown qualifier(s) ['instances']; valid: at, contains",51.841746477002744,0,55.97209783300059,,,,
011,base,end_to_end,plan,error,FALSE,,,,not_attempted,FALSE,planning,planner validation failed: PickUpAction requires 'location' to be null,67.13525404299435,0,71.24467242800165,,,,
